name,from,address,square_metre,price,type,rooms_amount,link
"Fredensborg/sentrum: Flott rom m/høy seng i bofellesskap, 3.etg",Privat,"BERNT ANKERS GATE 33, Oslo",15,7500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=263834604
"Fredensborg/Sentrum - Rom i bofellesskap,  Bernt Ankers Gate 33, Oslo",Privat,"BERNT ANKERS GATE 33, Oslo",15,7500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=258918659
Nyrenovert ettroms med terasse på 52kvm på Solli Plass.,Privat,"Inkognitogata 33B, Oslo",25,13900,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=83258213
Fredensborg/sentrum. Flott rom m/høy seng i bofelleskap 4. etasje,Privat,"BERNT ANKERS GATE 33, Oslo",9,7500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=263835341
"Vogts Gate 17, Oslo - Rom i bofellesskap",Privat,"VOGTS GATE 17, Oslo",23,8500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=306417799
BISLETT: Ullevålsveien 59 - Rom i bofellesskap,Privat,"ULLEVÅLSVEIEN 59, Oslo",10,7700,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=306330990
Nedre Grünerløkka: Trondheimsveien 14 - Rom i bofellesskap,Privat,"TRONDHEIMSVEIEN 14, Oslo",13,8500,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=306338819
"MAJORSTUEN - 4-roms leiligheter, heis og balkong. Ledig nå, 01.08 og 01.09!",Merkantilbygg AS,"Gardeveien 2, Oslo",75,23000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310014383
Hybel til leie i sentrumsnært og rolig boligstrøk,Privat,"Lille Huseby vei 17, Oslo",30,12000,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=304773180
Gjennomgående toppleilighet i Bjørvika,Privat,"Rostockgata 82, Oslo",40,21000,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310133905
To store rom i bofelleskap til leie på Høybråten,Privat,"Høybråtenveien 21 A, Oslo",15,5500,Rom i bofellesskap,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=282386624
"Hybel leilighet med egen inngang, raskt internett i rolig område. Fortsatt ledig!",Privat,"sinsenveien 9, Oslo",20,12500,Hybel,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=273590217
Stilig møblert 4-roms på Grünerløkka,Privat,"Paulus plass 4, Oslo",71,32000,Leilighet,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=310438589
Apartment with 3 bedrooms for rent,Privat,Oslo,7,7900,Rom i bofellesskap,3,https://www.finn.no/realestate/lettings/ad.html?finnkode=295541094
St. Hanshaugen: Private rom i pent og ryddig bofellesskap,Privat,"ULLEVÅLSVEIEN 59 A, Oslo",10,8100,Rom i bofellesskap,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=183325603
NORDSTRAND - Flott 3- roms i et hyggelig område- Varmt.v. og fyring inkl. - Ledig 01.08/01.09-  Biloppstillingsplass *,Utleiemegleren Frogner,"Gladvollveien 41, Oslo",61,18000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=310441442
Lys og innbydende to-roms med solrik balkong og badekar.,Privat,"Nils Huus Gate 18, Oslo",33,22500,Leilighet,1,https://www.finn.no/realestate/lettings/ad.html?finnkode=310426228
Vika - Attraktivt beliggende 3-roms - Balkong - Heis - Peis - Mulighet for parkering,Privat,"Hansteens Gate, Oslo",70,32000,Leilighet,2,https://www.finn.no/realestate/lettings/ad.html?finnkode=167198814
